Train Episode 66 , Platform Reward 4.935985621864265 , Worker Reward 51.690043760836126 , Order Pickup 1952 , Worker Reject Num 467 , Average Detour 20.203893442622952 , Average Travel Time 22.701385041551248 , Total Timeout Order 142 , Total Valid Distance 5518669.6 , Critic Loss 244.43157958984375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.155
Train Episode 67 , Platform Reward 4.783468885472087 , Worker Reward 51.291158521473406 , Order Pickup 1954 , Worker Reject Num 561 , Average Detour 19.902251791197543 , Average Travel Time 22.559933407325193 , Total Timeout Order 161 , Total Valid Distance 5582878.2 , Critic Loss 200.63876342773438 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.472 , Strike Rate 0.0
Train Episode 68 , Platform Reward 5.124814539052444 , Worker Reward 45.27345826625824 , Order Pickup 1951 , Worker Reject Num 483 , Average Detour 17.27011788826243 , Average Travel Time 20.282422293676312 , Total Timeout Order 110 , Total Valid Distance 5668711.300000001 , Critic Loss 98.19403533935547 , Actor Loss -1.6891557231163283 , Worker Loss 0 , Mask Rate 0.367 , Strike Rate 0.206
Train Episode 69 , Platform Reward 4.842458333776765 , Worker Reward 43.88988185173273 , Order Pickup 1644 , Worker Reject Num 419 , Average Detour 20.426399026763992 , Average Travel Time 22.73921698739217 , Total Timeout Order 117 , Total Valid Distance 4558712.7 , Critic Loss 123.4608154296875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.586
Train Episode 70 , Platform Reward 4.919819859540972 , Worker Reward 53.04612743294239 , Order Pickup 1955 , Worker Reject Num 478 , Average Detour 20.593350383631712 , Average Travel Time 23.177165354330707 , Total Timeout Order 172 , Total Valid Distance 5742742.7 , Critic Loss 222.15670776367188 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.086 , Strike Rate 0.012
Train Episode 71 , Platform Reward 4.683037664765766 , Worker Reward 52.09842070960998 , Order Pickup 1950 , Worker Reject Num 430 , Average Detour 20.31282051282051 , Average Travel Time 22.783071748878925 , Total Timeout Order 152 , Total Valid Distance 5545176.300000001 , Critic Loss 177.6534423828125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.295 , Strike Rate 0.01
Train Episode 72 , Platform Reward 5.709273331279089 , Worker Reward 45.01582067155838 , Order Pickup 1952 , Worker Reject Num 431 , Average Detour 16.996926229508198 , Average Travel Time 20.213362068965516 , Total Timeout Order 110 , Total Valid Distance 5915156.1 , Critic Loss 86.65226440429687 , Actor Loss -2.3415426574809084 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.067
Train Episode 73 , Platform Reward 5.010027089364293 , Worker Reward 51.37008703768253 , Order Pickup 1956 , Worker Reject Num 457 , Average Detour 19.949897750511248 , Average Travel Time 22.489851892484914 , Total Timeout Order 142 , Total Valid Distance 5683823.699999999 , Critic Loss 227.93048095703125 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.02
Train Episode 74 , Platform Reward 5.091368565069655 , Worker Reward 51.52890218365192 , Order Pickup 1955 , Worker Reject Num 495 , Average Detour 19.92531969309463 , Average Travel Time 22.638250140213124 , Total Timeout Order 152 , Total Valid Distance 6011410.699999999 , Critic Loss 303.9224548339844 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.211
Train Episode 75 , Platform Reward 4.906822561179769 , Worker Reward 51.15714391762018 , Order Pickup 1946 , Worker Reject Num 540 , Average Detour 19.707091469681398 , Average Travel Time 22.174832962138083 , Total Timeout Order 132 , Total Valid Distance 5945548.0 , Critic Loss 314.1383056640625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.564 , Strike Rate 0.0
