Train Episode 58 , Platform Reward 11.930503275441678 , Worker Reward 89.335670329988 , Order Pickup 3418 , Worker Reject Num 1494 , Average Detour 20.207723815096546 , Average Travel Time 22.86673027989822 , Total Timeout Order 282 , Total Valid Distance 10059821.299999999 , Critic Loss 167.77386474609375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.33 , Strike Rate 0.057
Train Episode 59 , Platform Reward 9.999829685984412 , Worker Reward 78.3853875784278 , Order Pickup 2977 , Worker Reject Num 1168 , Average Detour 20.348001343634532 , Average Travel Time 22.847889374090247 , Total Timeout Order 233 , Total Valid Distance 8534485.8 , Critic Loss 113.50308227539062 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.543 , Strike Rate 0.235
Train Episode 60 , Platform Reward 10.356690653592684 , Worker Reward 84.63302754032613 , Order Pickup 3516 , Worker Reject Num 1497 , Average Detour 18.331342434584755 , Average Travel Time 21.029228855721392 , Total Timeout Order 256 , Total Valid Distance 10692415.8 , Critic Loss 89.24249267578125 , Actor Loss -0.6127605248066845 , Worker Loss 0 , Mask Rate 0.121 , Strike Rate 0.03
Train Episode 61 , Platform Reward 6.151581439342023 , Worker Reward 65.73863147604466 , Order Pickup 2508 , Worker Reject Num 1051 , Average Detour 20.41068580542265 , Average Travel Time 22.835944299390775 , Total Timeout Order 189 , Total Valid Distance 6991188.6 , Critic Loss 170.88665771484375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.193 , Strike Rate 0.0
Train Episode 62 , Platform Reward 9.959535112260358 , Worker Reward 54.05993105250597 , Order Pickup 2029 , Worker Reject Num 686 , Average Detour 20.52686052242484 , Average Travel Time 23.429096638655462 , Total Timeout Order 178 , Total Valid Distance 5746502.1 , Critic Loss 133.90771484375 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.879
Train Episode 63 , Platform Reward 10.164821189547602 , Worker Reward 89.52630088788271 , Order Pickup 3408 , Worker Reject Num 1301 , Average Detour 20.035798122065728 , Average Travel Time 22.648925937800577 , Total Timeout Order 268 , Total Valid Distance 10155656.2 , Critic Loss 190.34390258789062 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.518 , Strike Rate 0.0
Train Episode 64 , Platform Reward 15.64700989103715 , Worker Reward 94.09328389286995 , Order Pickup 3713 , Worker Reject Num 1460 , Average Detour 18.25370320495556 , Average Travel Time 20.680903744970596 , Total Timeout Order 225 , Total Valid Distance 15906334.599999998 , Critic Loss 137.11354064941406 , Actor Loss -2.731756230259456 , Worker Loss 0 , Mask Rate 0.013 , Strike Rate 0.136
Train Episode 65 , Platform Reward 13.148727334397284 , Worker Reward 92.80361697888374 , Order Pickup 3605 , Worker Reject Num 1582 , Average Detour 19.78502080443828 , Average Travel Time 22.50360576923077 , Total Timeout Order 277 , Total Valid Distance 10389861.4 , Critic Loss 154.91998291015625 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.165 , Strike Rate 0.0
Train Episode 66 , Platform Reward 5.831559289224485 , Worker Reward 61.57917982274294 , Order Pickup 2375 , Worker Reject Num 1106 , Average Detour 19.966736842105263 , Average Travel Time 22.252762430939228 , Total Timeout Order 180 , Total Valid Distance 7004385.9 , Critic Loss 216.40560913085938 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.061 , Strike Rate 0.0
Train Episode 67 , Platform Reward 11.47004274837131 , Worker Reward 81.98576302152873 , Order Pickup 3134 , Worker Reject Num 1142 , Average Detour 20.147415443522654 , Average Travel Time 22.70671256454389 , Total Timeout Order 247 , Total Valid Distance 8965638.1 , Critic Loss 185.63201904296875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.0 , Strike Rate 0.254
Train Episode 68 , Platform Reward 10.724625453741476 , Worker Reward 89.8773357823491 , Order Pickup 3717 , Worker Reject Num 1375 , Average Detour 18.077212806026367 , Average Travel Time 20.353254437869822 , Total Timeout Order 188 , Total Valid Distance 11554380.1 , Critic Loss 140.38835983276368 , Actor Loss -3.9882182373477755 , Worker Loss 0 , Mask Rate 0.825 , Strike Rate 0.0
Train Episode 69 , Platform Reward 11.818068003241251 , Worker Reward 89.03415239560604 , Order Pickup 3404 , Worker Reject Num 1313 , Average Detour 20.25 , Average Travel Time 22.92241379310345 , Total Timeout Order 277 , Total Valid Distance 9689217.6 , Critic Loss 162.74383544921875 , Actor Loss 0.0 , Worker Loss 0 , Mask Rate 0.217 , Strike Rate 0.134
